"","gene","Parameter1","Parameter2","rho","CI","CI_low","CI_high","S","p","Method","n_Obs"
"154","Runx3","logFC","time_index",-0.2,0.95,-0.772516691083253,0.551875572212081,144,0.605901274179553,"Spearman",9
"155","Rxra","logFC","time_index",0.133333333333333,0.95,-0.597773081697375,0.743356072842784,104,0.732367505236297,"Spearman",9
"156","Six5","logFC","time_index",-0.616666666666667,0.95,-0.912692468003892,0.103822993214458,194,0.0769288099377629,"Spearman",9
"157","Smad1","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"158","Smad3","logFC","time_index",0.5,0.95,-0.267807758949841,0.879399707121547,60,0.170470660787054,"Spearman",9
"159","Smad4","logFC","time_index",0.6,0.95,-0.129921172974771,0.908165369930819,48,0.0876228290414023,"Spearman",9
"160","Smad5","logFC","time_index",-0.316666666666667,0.95,-0.818331249069249,0.458862111967596,158,0.406397014486386,"Spearman",9
"161","Snapc4","logFC","time_index",-0.583333333333333,0.95,-0.903565022833856,0.155045693018319,190,0.0991858164798833,"Spearman",9
"162","Sox10","logFC","time_index",0.683333333333333,0.95,0.0115334080855215,0.930102279439233,38,0.0424422720870724,"Spearman",9
"163","Sox11","logFC","time_index",-0.2,0.95,-0.772516691083253,0.551875572212081,144,0.605901274179553,"Spearman",9
"164","Sox13","logFC","time_index",-0.15,0.95,-0.750870290691378,0.586731109992407,138,0.700094230969142,"Spearman",9
"165","Sox6","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"166","Sp1","logFC","time_index",0.416666666666667,0.95,-0.362842287387987,0.853107320580695,70,0.264586046747496,"Spearman",9
"167","Sp2","logFC","time_index",0.283333333333333,0.95,-0.487292983344426,0.80586111162849,86,0.46003032896572,"Spearman",9
"168","Sp3","logFC","time_index",0.366666666666667,0.95,-0.413014534946927,0.836190895458513,76,0.331739801433015,"Spearman",9
"169","Sp4","logFC","time_index",0.166666666666667,0.95,-0.575408202183274,0.75823210334353,100,0.668231040071504,"Spearman",9
"170","Srebf1","logFC","time_index",0.466666666666667,0.95,-0.307703180721546,0.869153323564428,64,0.205386351105812,"Spearman",9
"171","Srebf2","logFC","time_index",0.45,0.95,-0.326679544960764,0.863897186665876,66,0.224216107492337,"Spearman",9
"172","Srf","logFC","time_index",0.316666666666667,0.95,-0.458862111967596,0.818331249069249,82,0.406397014486386,"Spearman",9
"173","Stat1","logFC","time_index",0.1,0.95,-0.619055026596402,0.727851090693883,108,0.797971695234851,"Spearman",9
"174","Stat2","logFC","time_index",0.583333333333333,0.95,-0.155045693018319,0.903565022833856,50,0.0991858164798833,"Spearman",9
"175","Stat3","logFC","time_index",0.05,0.95,-0.649113470966588,0.703324221431592,114,0.89835280435063,"Spearman",9
"176","Stat5a","logFC","time_index",0.35,0.95,-0.428749150036578,0.830346306968351,78,0.355819572501789,"Spearman",9
